SourceVM,TargetDS,TargetHost,BackupsRetained
CoogleWeb-Production,15krpm,192.168.1.240,1
jared-desktop,raid6_nearline,192.168.1.240,1
ORS,15krpm,192.168.1.240,1
RFC,15krpm,192.168.1.240,1
QB-VM,raid6_nearline,192.168.1.240,1
voice-vm,raid6_nearline,192.168.1.240,1
kim-vm,raid6_nearline,192.168.1.240,1
flex1,raid6_nearline,192.168.1.240,1
flex2,raid6_nearline,192.168.1.240,1
flex-vm,super-tier1,192.168.1.244,1
jody-vm,super-tier1,192.168.1.244,1
CoogleWeb-Production,tier1,192.168.1.239,1
jared-desktop,tier2,192.168.1.239,1
ORS,tier1,192.168.1.239,1
RFC,tier1,192.168.1.239,1
flex-vm,tier1,192.168.1.239,1
jody-vm,tier2,192.168.1.239,1
QB-VM,tier2,192.168.1.239,1
voice-vm,tier2,192.168.1.239,1
kim-vm,tier2,192.168.1.239,1
flex1,tier2,192.168.1.239,1
flex2,tier2,192.168.1.239,1